rede_nome,alunos,municipios,nao_alfabetizados,soma_pesos,taxa_nao_alfabetizado_pct,taxa_nao_alfabetizado_ponderada_pct
Estadual,131522,1059,50860,155223.280148,38.67033652164657,39.90654617467065
Municipal,1371287,4822,574522,1588394.8579564,41.89655411303396,42.7949756259132
