variant,fold,training_rows,validation_rows,fit_seconds,predict_seconds,persisted_predictions_verified,average_precision_risk,roc_auc_risk,brier_risk
ibge,0,1001875,500934,3.08318744799908,1.3084777650001342,True,0.5394605848371319,0.636300701735207,0.22879263361778662
ibge,1,1001867,500942,3.040955254997243,1.315300667003612,True,0.5473202274018257,0.642092326801784,0.22927135428229492
ibge,2,1001876,500933,3.107645317002607,1.2727051699985168,True,0.5445474020685244,0.6493402491260916,0.22437918153314665
ibge_inep,0,1001875,500934,4.167910572003166,1.305746611993527,True,0.540216000605827,0.6368361476680653,0.22877473258307005
ibge_inep,1,1001867,500942,4.030272644995421,1.3512253380031325,True,0.5489227374678883,0.6434204198730193,0.2290224097673536
ibge_inep,2,1001876,500933,4.049042589998862,1.3224721810038318,True,0.5437819531010261,0.649204187443678,0.2242691287305162
