regiao,avaliacoes,municipios,risco_medio,risco_observado,risco_ponderado,observado_ponderado,soma_pesos,erro_risco_pp
Centro-Oeste,175205,466,0.4111714077836079,0.35302645472446564,0.41257787243389815,0.35846826480786903,197197.01,5.814495305914225
Nordeste,465488,1782,0.4515505204678915,0.43141821056611557,0.45392189124900284,0.43537943056146167,494027.68,2.0132309901775947
Norte,188095,435,0.4853702152702885,0.49245328158643237,0.48503603192469985,0.4984839023766041,226317.88,-0.708306631614386
Sudeste,744637,1664,0.40735430050616434,0.37706291790496577,0.4088453269496247,0.3826292192794787,846040.2694381,3.029138260119857
Sul,278403,1170,0.3204392735903985,0.39026159919253745,0.3255672737768837,0.4000011303813316,345567.0657861,-6.982232560213896
