fold,delta_average_precision_risk,delta_roc_auc_risk,delta_brier_risk
0,0.005019496180750593,0.00474149435965443,-0.00030200144931968875
1,0.0020035107133197227,0.0017994892144744812,-0.0002728352989643801
2,0.007432966856225631,0.003161733011160739,-0.0005794607050348954
