criterio,threshold,flag_rate,recall,precision,lift_sobre_prevalencia,f2
sinalizar 5%,0.6244871444915212,0.0516852108285217,0.0806595009130419,0.6494277290693033,1.5605915042250489,0.0977880359072441
sinalizar 10%,0.6046340268419688,0.1001378085971005,0.1524092474679476,0.6333661155706767,1.5219950346748115,0.1797010274447816
sinalizar 20%,0.5226690034291342,0.2000673405602442,0.2881246981844697,0.5993022087852513,1.4401385922247296,0.3215127020249512
sinalizar 30%,0.4694053747188441,0.3002118033629024,0.4046774611357538,0.5609483089185457,1.347973186273159,0.4285551238210323
limiar F2 congelado,0.1501632397338026,0.95944461338733,0.9902731450537432,0.4295133653567401,1.0321316428656957,0.7852368140102804
