id_municipio,nome_municipio,sigla_uf,regiao,avaliacoes,municipios,risco_medio,risco_observado,risco_ponderado,observado_ponderado,soma_pesos,erro_risco_pp
2800308,Aracaju,SE,Nordeste,3664,1,0.6781378858675705,0.5556768558951966,0.6780660403417502,0.5572819421849581,3995.5,12.246102997237395
2804805,Nossa Senhora do Socorro,SE,Nordeste,1785,1,0.6695247913749053,0.7019607843137254,0.6695379267253719,0.7017313444761273,2002.49,-3.2435992938820157
2806206,Salgado,SE,Nordeste,175,1,0.6667810776307119,0.5485714285714286,0.6667810776307119,0.5510398475948564,188.97,11.820964905928333
2807501,Tomar do Geru,SE,Nordeste,113,1,0.6667810776307119,0.5929203539823009,0.6667810776307119,0.595666050730724,119.06,7.386072364841101
2805802,Riachão do Dantas,SE,Nordeste,125,1,0.6660647882130779,0.656,0.6660647882130778,0.65361267397098,135.08,1.006478821307788
2803500,Lagarto,SE,Nordeste,757,1,0.6658692768823351,0.6221928665785997,0.6660542446147146,0.6249939110526572,821.16,4.367641030373537
2801702,Cristinápolis,SE,Nordeste,185,1,0.6655283823194484,0.654054054054054,0.6655283823194484,0.6526629695511144,191.14000000000001,1.1474328265394407
2807600,Umbaúba,SE,Nordeste,183,1,0.6655283823194484,0.6065573770491803,0.6655283823194484,0.6065342909449374,213.03,5.897100527026811
2804201,Monte Alegre de Sergipe,SE,Nordeste,169,1,0.6655283823194484,0.6449704142011834,0.6655283823194484,0.6493181818181818,176.0,2.0557968118265046
2805505,Poço Verde,SE,Nordeste,153,1,0.6655283823194484,0.5882352941176471,0.6655283823194484,0.5946928802772884,175.99,7.729308820180137
2804003,Maruim,SE,Nordeste,122,1,0.6655283823194484,0.6885245901639344,0.6655283823194484,0.687812523322636,133.99,-2.299620784448597
2804904,Pacatuba,SE,Nordeste,106,1,0.6655283823194484,0.6981132075471698,0.6655283823194484,0.7143220338983052,118.0,-3.2584825227721326
2805307,Pirambu,SE,Nordeste,100,1,0.6655283823194484,0.61,0.6655283823194486,0.6234346264996935,114.19,5.552838231944845
2802809,Indiaroba,SE,Nordeste,235,1,0.6652158484258675,0.6553191489361702,0.6652158484258675,0.6570220527275742,241.24,0.9896699489697292
2800506,Areia Branca,SE,Nordeste,147,1,0.6649543679877369,0.54421768707483,0.6649543679877368,0.551784317265451,166.17000000000002,12.07366809129069
2803401,Japoatã,SE,Nordeste,137,1,0.6649543679877369,0.6058394160583942,0.6649543679877369,0.6071687183200579,138.1,5.911495192934268
2803906,Malhador,SE,Nordeste,128,1,0.6649543679877369,0.625,0.6649543679877369,0.6325855622663216,139.08,3.9954367987736883
2806305,Santa Luzia do Itanhy,SE,Nordeste,123,1,0.6649543679877369,0.7804878048780488,0.6649543679877368,0.7784675953967293,132.08,-11.553343689031193
2800407,Arauá,SE,Nordeste,108,1,0.6649543679877369,0.7129629629629629,0.6649543679877369,0.713953903877077,111.94,-4.800859497522603
2801405,Carira,SE,Nordeste,123,1,0.6632707480173794,0.6504065040650406,0.6632707480173795,0.6546008912516613,127.91,1.286424395233876
2806008,Ribeirópolis,SE,Nordeste,111,1,0.6631085220670012,0.5855855855855856,0.6627390070848737,0.5781867069994118,119.01,7.752293648141562
2803302,Japaratuba,SE,Nordeste,167,1,0.6628226372842487,0.41916167664670656,0.6628226372842487,0.4171597633136095,169.0,24.366096063754217
2801009,Campo do Brito,SE,Nordeste,124,1,0.6624702667062989,0.6451612903225806,0.6623121160152038,0.6505291600990768,133.23,1.730897638371831
2801306,Capela,SE,Nordeste,317,1,0.662151420653821,0.6403785488958991,0.662151420653821,0.6422389086323512,348.92,2.1772871757921974
2805406,Poço Redondo,SE,Nordeste,345,1,0.6611532082886773,0.7333333333333333,0.6611532082886773,0.7339192363057807,395.97,-7.218012504465598
2801504,Carmópolis,SE,Nordeste,147,1,0.6602558896895359,0.8367346938775511,0.6602558896895359,0.8383619391749473,166.05,-17.64788041880152
2802700,Ilha das Flores,SE,Nordeste,114,1,0.6601301061215057,0.8421052631578947,0.6601301061215056,0.8372813128967331,129.18,-18.1975157036389
2804409,Neópolis,SE,Nordeste,200,1,0.6600523116903702,0.69,0.6600445302344748,0.6901387945258662,206.06,-2.9947688309629794
2805604,Porto da Folha,SE,Nordeste,228,1,0.6598981994412846,0.8245614035087719,0.659936120137167,0.8314273103005497,249.21,-16.466320406748736
2800704,Brejo Grande,SE,Nordeste,139,1,0.6591289960012156,0.6546762589928058,0.6591289960012156,0.6540681306306305,142.08,0.44527370084097573
2804607,Nossa Senhora das Dores,SE,Nordeste,221,1,0.6590912478015236,0.7194570135746606,0.6588516525479178,0.7164893389736359,234.03,-6.036576577313701
2800670,Boquim,SE,Nordeste,164,1,0.6590207135805058,0.6402439024390244,0.6593869887435022,0.6508257158729358,198.01,1.8776811141481442
2806602,Santo Amaro das Brotas,SE,Nordeste,101,1,0.6587525252873259,0.6237623762376238,0.6587525252873259,0.6237623762376238,101.0,3.49901490497021
2803609,Laranjeiras,SE,Nordeste,215,1,0.6574614196791949,0.7302325581395349,0.6574614196791949,0.7265836269769728,244.06,-7.277113846034
2806107,Rosário do Catete,SE,Nordeste,128,1,0.6567701740743186,0.609375,0.6567701740743185,0.6097365155828042,137.01000000000002,4.739517407431859
2807105,Simão Dias,SE,Nordeste,358,1,0.6535758440990618,0.6396648044692738,0.6535211663752569,0.6403038189833749,376.54,1.3911039629788013
2805703,Propriá,SE,Nordeste,193,1,0.6534880993224185,0.6373056994818653,0.6538586575711358,0.6587398099355942,222.03,1.618239984055314
