term,coefficient_literacy,coefficient_risk,variant,fold
categorical__rede_nome_Estadual,0.16355972486886594,-0.16355972486886594,rede_uf,0
categorical__rede_nome_Municipal,0.025554384256101282,-0.025554384256101282,rede_uf,0
categorical__sigla_uf_AL,-0.413824945119719,0.413824945119719,rede_uf,0
categorical__sigla_uf_AM,-0.08544681541431755,0.08544681541431755,rede_uf,0
categorical__sigla_uf_AP,-0.571462262870579,0.571462262870579,rede_uf,0
categorical__sigla_uf_BA,-0.7192777608065419,0.7192777608065419,rede_uf,0
categorical__sigla_uf_CE,1.4627095825184007,-1.4627095825184007,rede_uf,0
categorical__sigla_uf_ES,0.7320891196858996,-0.7320891196858996,rede_uf,0
categorical__sigla_uf_GO,0.563169556586567,-0.563169556586567,rede_uf,0
categorical__sigla_uf_MA,0.17772304315981088,-0.17772304315981088,rede_uf,0
categorical__sigla_uf_MG,0.16391028279928366,-0.16391028279928366,rede_uf,0
categorical__sigla_uf_MS,-0.35952979870916185,0.35952979870916185,rede_uf,0
categorical__sigla_uf_MT,-0.012939986813087325,0.012939986813087325,rede_uf,0
categorical__sigla_uf_PA,-0.3017209490608498,0.3017209490608498,rede_uf,0
categorical__sigla_uf_PB,-0.12415934818954921,0.12415934818954921,rede_uf,0
categorical__sigla_uf_PE,0.17062167370382184,-0.17062167370382184,rede_uf,0
categorical__sigla_uf_PI,-0.012651746993776762,0.012651746993776762,rede_uf,0
categorical__sigla_uf_PR,0.8125329518823073,-0.8125329518823073,rede_uf,0
categorical__sigla_uf_RJ,-0.10380182074690109,0.10380182074690109,rede_uf,0
categorical__sigla_uf_RN,-0.7193023962800299,0.7193023962800299,rede_uf,0
categorical__sigla_uf_RO,0.42659868446165616,-0.42659868446165616,rede_uf,0
categorical__sigla_uf_RS,0.39686449025328824,-0.39686449025328824,rede_uf,0
categorical__sigla_uf_SC,0.24846821286881954,-0.24846821286881954,rede_uf,0
categorical__sigla_uf_SE,-1.0010195985850403,1.0010195985850403,rede_uf,0
categorical__sigla_uf_TO,-0.5404360592091932,0.5404360592091932,rede_uf,0
intercept,0.18948565482896068,-0.18948565482896068,rede_uf,0
categorical__rede_nome_Estadual,0.1411452633743026,-0.1411452633743026,rede_uf,1
categorical__rede_nome_Municipal,0.02065534855655083,-0.02065534855655083,rede_uf,1
categorical__sigla_uf_AL,-0.39322690586188713,0.39322690586188713,rede_uf,1
categorical__sigla_uf_AM,-0.15924708223750003,0.15924708223750003,rede_uf,1
categorical__sigla_uf_AP,-0.5007131253838955,0.5007131253838955,rede_uf,1
categorical__sigla_uf_BA,-0.7201510565246826,0.7201510565246826,rede_uf,1
categorical__sigla_uf_CE,1.484762593720129,-1.484762593720129,rede_uf,1
categorical__sigla_uf_ES,0.5244741871815533,-0.5244741871815533,rede_uf,1
categorical__sigla_uf_GO,0.45471911090395456,-0.45471911090395456,rede_uf,1
categorical__sigla_uf_MA,0.030049285535485852,-0.030049285535485852,rede_uf,1
categorical__sigla_uf_MG,0.23238264343301873,-0.23238264343301873,rede_uf,1
categorical__sigla_uf_MS,-0.2174656944813381,0.2174656944813381,rede_uf,1
categorical__sigla_uf_MT,0.06254099657115611,-0.06254099657115611,rede_uf,1
categorical__sigla_uf_PA,-0.2137672082535226,0.2137672082535226,rede_uf,1
categorical__sigla_uf_PB,-0.09099130947245083,0.09099130947245083,rede_uf,1
categorical__sigla_uf_PE,0.14588104660767146,-0.14588104660767146,rede_uf,1
categorical__sigla_uf_PI,-0.1425739249113482,0.1425739249113482,rede_uf,1
categorical__sigla_uf_PR,0.8414548288487238,-0.8414548288487238,rede_uf,1
categorical__sigla_uf_RJ,-0.032003596264297586,0.032003596264297586,rede_uf,1
categorical__sigla_uf_RN,-0.6979749503880537,0.6979749503880537,rede_uf,1
categorical__sigla_uf_RO,0.4209753694597461,-0.4209753694597461,rede_uf,1
categorical__sigla_uf_RS,0.3441714907991765,-0.3441714907991765,rede_uf,1
categorical__sigla_uf_SC,0.2950409053549263,-0.2950409053549263,rede_uf,1
categorical__sigla_uf_SE,-1.0530614189395426,1.0530614189395426,rede_uf,1
categorical__sigla_uf_TO,-0.4534755737723341,0.4534755737723341,rede_uf,1
intercept,0.16225497579064366,-0.16225497579064366,rede_uf,1
categorical__rede_nome_Estadual,0.17765185829947694,-0.17765185829947694,rede_uf,2
categorical__rede_nome_Municipal,0.01090572602979698,-0.01090572602979698,rede_uf,2
categorical__sigla_uf_AL,-0.4740867914491941,0.4740867914491941,rede_uf,2
categorical__sigla_uf_AM,-0.10826856359546796,0.10826856359546796,rede_uf,2
categorical__sigla_uf_AP,-0.617453518833115,0.617453518833115,rede_uf,2
categorical__sigla_uf_BA,-0.7138146053685184,0.7138146053685184,rede_uf,2
categorical__sigla_uf_CE,1.6232611466598899,-1.6232611466598899,rede_uf,2
categorical__sigla_uf_ES,0.4763189368876635,-0.4763189368876635,rede_uf,2
categorical__sigla_uf_GO,0.5124561392433358,-0.5124561392433358,rede_uf,2
categorical__sigla_uf_MA,0.06260999820965454,-0.06260999820965454,rede_uf,2
categorical__sigla_uf_MG,0.2475334478938716,-0.2475334478938716,rede_uf,2
categorical__sigla_uf_MS,-0.27114099287724486,0.27114099287724486,rede_uf,2
categorical__sigla_uf_MT,-0.001663650756666283,0.001663650756666283,rede_uf,2
categorical__sigla_uf_PA,-0.21689904524294773,0.21689904524294773,rede_uf,2
categorical__sigla_uf_PB,-0.20769652890341145,0.20769652890341145,rede_uf,2
categorical__sigla_uf_PE,0.18708204146166582,-0.18708204146166582,rede_uf,2
categorical__sigla_uf_PI,-0.08863115545007284,0.08863115545007284,rede_uf,2
categorical__sigla_uf_PR,0.8312259003509459,-0.8312259003509459,rede_uf,2
categorical__sigla_uf_RJ,-0.06965623874965761,0.06965623874965761,rede_uf,2
categorical__sigla_uf_RN,-0.7250578053237666,0.7250578053237666,rede_uf,2
categorical__sigla_uf_RO,0.40470578345541897,-0.40470578345541897,rede_uf,2
