variant,fold,roc_auc_risk,average_precision_risk,brier_risk,recall_risk,precision_risk,f1_risk,balanced_accuracy,accuracy,risk_prevalence
completa,0,0.636300701735207,0.5394605848371319,0.22879263361778662,0.30339660864704227,0.5722628263475212,0.39655280084930994,0.5703248846271177,0.6142006731425697,0.41781352433653934
completa,1,0.642092326801784,0.5473202274018257,0.22927135428229492,0.41704407223729767,0.570099196070531,0.4817061473073275,0.5914998705348438,0.6170834148464294,0.4266761421481928
completa,2,0.6493402491260916,0.5445474020685244,0.22437918153314665,0.3209320714621068,0.5915376206959373,0.4161089307168602,0.5853776195857294,0.6361848790157566,0.4039362549482665
sem_uf,0,0.5698067370254677,0.47619175716463746,0.23953739014839728,0.08993439944194136,0.5229918590758801,0.1534767293956492,0.5155333487349847,0.5854903041119189,0.41781352433653934
sem_uf,1,0.559509762356518,0.48022121177814564,0.24239642829043964,0.08096285206325442,0.5348477824138463,0.14063674597208395,0.5142803550084449,0.5778253769897513,0.4266761421481928
sem_uf,2,0.543261239972826,0.4359577888199781,0.24039141976576084,0.12230102053423608,0.43990756377210916,0.19139211136890952,0.5083888453643088,0.5825669301084176,0.4039362549482665
