threshold,tp,fp,fn,tn,f2,recall,precision,flag_rate
0.7011917016849007,327,414,625055,877013,0.000653406967835992,0.0005228804154900525,0.44129554655870445,0.0004930766318274644
0.6834640381977712,741,775,624641,876652,0.0014801977112667616,0.001184875803908651,0.4887862796833773,0.0010087775625511957
0.6825695872650042,959,837,624423,876590,0.0019154532134074535,0.001533462747568686,0.5339643652561247,0.0011950953181675116
0.6810242892970835,990,839,624392,876588,0.0019773448213738594,0.001583032450566214,0.541279387643521,0.001217054196508006
0.680201248839114,1132,908,624250,876519,0.002260773424169026,0.0018100936707484386,0.5549019607843138,0.0013574579337760153
0.6755319733413574,1515,1047,623867,876380,0.0030250510165369454,0.0024225193561695094,0.5913348946135831,0.00170480746388929
0.6732674807647283,1531,1051,623851,876376,0.003056974334194584,0.002448103719006943,0.5929512006196747,0.001718115875004741
0.6687548829762449,1695,1148,623687,876279,0.0033840832688128075,0.002710343438090639,0.596201195919803,0.0018917906400613784
0.6670975414744267,1724,1166,623658,876261,0.0034419174434938576,0.002756715095733488,0.5965397923875433,0.0019230654061826885
0.6664091661270315,3540,1933,621842,875494,0.007060228536007764,0.0056605402777822195,0.6468116206833546,0.0036418467017432024
0.6649554132406981,3641,1961,621741,875466,0.007261290798642272,0.00582204156819352,0.649946447697251,0.003727685953437862
0.6634312681216228,3883,2083,621499,875344,0.007742790212060328,0.0062090050561097055,0.6508548441166611,0.003969899035739073
0.6633837431978871,3957,2135,621425,875292,0.007889951428047312,0.006327332734232837,0.6495403808273145,0.004053742025766415
0.662675734692127,3970,2147,621412,875280,0.0079157935034664,0.0063481200290382515,0.649010953081576,0.0040703775396607285
0.6624765648294229,4062,2214,621320,875213,0.008098719038648953,0.006495230115353496,0.6472275334608031,0.004176179408028565
0.6624456133742318,4077,2227,621305,875200,0.008128534925784503,0.0065192154555135905,0.6467322335025381,0.0041948111835901965
0.6619871507288514,4284,2293,621098,875134,0.008540312307499088,0.006850213149722889,0.6513608027976281,0.004376470995316105
0.6619140995250219,4318,2305,621064,875122,0.008607934689737579,0.006904579920752436,0.6519704061603503,0.004407080340881642
0.6617516130915193,4329,2319,621053,875108,0.00862977717672125,0.006922169170203172,0.651173285198556,0.0044237158547759566
0.6614350964463805,4354,2325,621028,875102,0.008679506914700421,0.0069621447371366624,0.6518939961072017,0.004444343892004906
0.661043488630001,4399,2365,620983,875062,0.008768915261859465,0.007034100757616945,0.6503548196333531,0.004500904639245573
0.6604841622638187,4703,2445,620679,874982,0.009373470308640892,0.007520203651528186,0.6579462786793508,0.004756426132662235
0.6604511227882542,4839,2482,620543,874945,0.009643864576943452,0.007737670735646373,0.6609752766015572,0.004871543888810887
0.660327532221984,5333,2693,620049,874734,0.01062539399431134,0.00852758793825214,0.6644654871667082,0.005340665380630539
0.6602987712390721,5430,2725,619952,874702,0.010818099337645432,0.008682693137954082,0.6658491722869405,0.005426504632325199
0.6592751420886176,5458,2733,619924,874694,0.010873727297757239,0.008727465772919591,0.6663411060920522,0.005450459772333011
