fold,delta_average_precision_risk,delta_roc_auc_risk,delta_brier_risk
0,0.0007554157686950891,0.0005354459328582584,-1.7901034716577557e-05
1,0.0016025100660626013,0.0013280930712353811,-0.00024894451494131276
2,-0.0007654489674983056,-0.00013606168241353522,-0.00011005280263046147
