regiao,alunos,municipios,nao_alfabetizados,soma_pesos,taxa_nao_alfabetizado_pct,taxa_nao_alfabetizado_ponderada_pct
Centro-Oeste,157677,465,64630,175378.0294712,40.98885696709095,40.913065291044894
Nordeste,503043,1794,227727,562084.1102958,45.26988746488869,46.36944842273502
Norte,180589,413,88294,223269.0000237,48.892235961215796,49.676978591755486
Sudeste,362799,1018,148330,420585.9984089,40.88489769817447,42.13823548488572
Sul,298701,1181,96401,362300.9999048,32.2734105342801,33.4442359292795
