bin,rows,mean_risk,observed_risk
"(-0.001, 0.1]",2818,0.09927472747017227,0.031227821149751596
"(0.1, 0.2]",61473,0.12279282575471184,0.10196346363444114
"(0.2, 0.3]",182427,0.2657503872916407,0.27464684503938563
"(0.3, 0.4]",516634,0.36558778842078604,0.3451553711137865
"(0.4, 0.5]",751275,0.4331368802074655,0.42347875278692887
"(0.5, 0.6]",197525,0.5464755464892425,0.5236046070117707
"(0.6, 0.7]",139676,0.6267208842014954,0.6326999627709843
