fold,feature,repeat,baseline_ap,permuted_ap,decrease_ap
0,rede_nome,0,0.5415975955885632,0.5400251346991026,0.001572460889460614
0,rede_nome,1,0.5415975955885632,0.5398301130922307,0.0017674824963325175
0,rede_nome,2,0.5415975955885632,0.5400318316531357,0.001565763935427511
0,rede_nome,3,0.5415975955885632,0.5402600011523183,0.0013375944362449266
0,rede_nome,4,0.5415975955885632,0.5397547158586189,0.0018428797299443467
0,sigla_uf,0,0.5415975955885632,0.4389426194827755,0.10265497610578772
0,sigla_uf,1,0.5415975955885632,0.4289864524222984,0.11261114316626486
0,sigla_uf,2,0.5415975955885632,0.41612652707588793,0.1254710685126753
0,sigla_uf,3,0.5415975955885632,0.4425151484284453,0.09908244716011794
0,sigla_uf,4,0.5415975955885632,0.4363607810961554,0.10523681449240785
0,populacao_2021,0,0.5415975955885632,0.5347522587391211,0.006845336849442107
0,populacao_2021,1,0.5415975955885632,0.5341148142917004,0.0074827812968628615
0,populacao_2021,2,0.5415975955885632,0.5359523360740512,0.005645259514512002
0,populacao_2021,3,0.5415975955885632,0.5333754644540203,0.008222131134542954
0,populacao_2021,4,0.5415975955885632,0.5347293246781162,0.006868270910447061
0,pib_per_capita_2020,0,0.5415975955885632,0.5356095949530864,0.005988000635476887
0,pib_per_capita_2020,1,0.5415975955885632,0.5326606759342314,0.008936919654331854
0,pib_per_capita_2020,2,0.5415975955885632,0.5319472128118403,0.009650382776722921
0,pib_per_capita_2020,3,0.5415975955885632,0.5333440109178408,0.008253584670722458
0,pib_per_capita_2020,4,0.5415975955885632,0.5342278968875064,0.007369698701056859
0,participacao_agropecuaria_2020,0,0.5415975955885632,0.5415688083402016,2.878724836163915e-05
0,participacao_agropecuaria_2020,1,0.5415975955885632,0.5418746359664205,-0.00027704037785725166
0,participacao_agropecuaria_2020,2,0.5415975955885632,0.5418675647637435,-0.00026996917518029573
0,participacao_agropecuaria_2020,3,0.5415975955885632,0.5420550351223943,-0.00045743953383103886
0,participacao_agropecuaria_2020,4,0.5415975955885632,0.5414505274947577,0.00014706809380549135
0,participacao_servicos_publicos_2020,0,0.5415975955885632,0.5388191972479701,0.0027783983405931245
0,participacao_servicos_publicos_2020,1,0.5415975955885632,0.5357232072857194,0.005874388302843814
0,participacao_servicos_publicos_2020,2,0.5415975955885632,0.5327352108261634,0.008862384762399866
0,participacao_servicos_publicos_2020,3,0.5415975955885632,0.5344638452075805,0.00713375038098274
0,participacao_servicos_publicos_2020,4,0.5415975955885632,0.5345594211183238,0.007038174470239467
1,rede_nome,0,0.5479822504177976,0.5460328283201863,0.0019494220976112864
1,rede_nome,1,0.5479822504177976,0.546154812780681,0.001827437637116569
1,rede_nome,2,0.5479822504177976,0.5468295195832914,0.001152730834506177
1,rede_nome,3,0.5479822504177976,0.5468947926760881,0.0010874577417094855
1,rede_nome,4,0.5479822504177976,0.5465961736302676,0.0013860767875299995
1,sigla_uf,0,0.5479822504177976,0.4377950356733765,0.11018721474442106
1,sigla_uf,1,0.5479822504177976,0.44565933347068715,0.10232291694711043
1,sigla_uf,2,0.5479822504177976,0.44143037587740164,0.10655187454039594
1,sigla_uf,3,0.5479822504177976,0.4364235894734412,0.1115586609443564
1,sigla_uf,4,0.5479822504177976,0.4424725775114094,0.10550967290638819
1,populacao_2021,0,0.5479822504177976,0.5444596937126072,0.003522556705190416
1,populacao_2021,1,0.5479822504177976,0.5435796667513252,0.004402583666472393
1,populacao_2021,2,0.5479822504177976,0.5420646093155107,0.005917641102286875
1,populacao_2021,3,0.5479822504177976,0.5427989112364587,0.005183339181338842
1,populacao_2021,4,0.5479822504177976,0.5469534501363912,0.0010288002814063946
1,pib_per_capita_2020,0,0.5479822504177976,0.5462670211380993,0.0017152292796982493
1,pib_per_capita_2020,1,0.5479822504177976,0.5476876953362515,0.00029455508154607735
1,pib_per_capita_2020,2,0.5479822504177976,0.5475308941041888,0.00045135631360881945
1,pib_per_capita_2020,3,0.5479822504177976,0.547488599113284,0.0004936513045136204
1,pib_per_capita_2020,4,0.5479822504177976,0.5462015261135093,0.001780724304288328
1,participacao_agropecuaria_2020,0,0.5479822504177976,0.5486964760800578,-0.0007142256622602039
1,participacao_agropecuaria_2020,1,0.5479822504177976,0.5475684482298611,0.00041380218793651835
1,participacao_agropecuaria_2020,2,0.5479822504177976,0.5479575043783305,2.4746039467116177e-05
1,participacao_agropecuaria_2020,3,0.5479822504177976,0.5483786585406254,-0.00039640812282781823
