fold,delta_average_precision_risk,delta_roc_auc_risk,delta_brier_risk
0,-0.06326882767249442,-0.06649396470973934,0.01074475653061066
1,-0.06709901562368009,-0.08258256444526602,0.013125074008144721
2,-0.10858961324854627,-0.10607900915326551,0.01601223823261419
